size,vector_ns,matrix_ns
10,214,505
10,105,247
10,63,207
10,65,207
10,64,204
10,65,209
10,80,208
10,65,204
10,65,210
10,63,211
15,92,485
15,81,398
15,77,377
15,77,378
15,79,380
15,77,378
15,77,376
15,75,378
15,77,372
15,78,381
20,88,688
20,90,651
20,88,637
20,90,627
20,89,626
20,90,625
20,88,628
20,92,627
20,93,625
20,92,625
25,101,996
25,103,974
25,101,946
25,98,949
25,102,947
25,101,947
25,103,969
25,100,945
25,101,939
25,102,954
30,113,1493
30,112,1479
30,112,1550
30,214,1608
30,112,1893
30,114,2346
30,176,2550
30,127,3164
30,294,2144
30,255,3918
35,127,2256
35,202,2260
35,246,2211
35,128,2217
35,121,2215
35,124,2219
35,125,2219
35,123,2220
35,124,2218
35,125,2196
40,137,3297
40,135,2908
40,136,2952
40,208,2955
40,135,2838
40,137,2839
40,136,2836
40,136,2833
40,137,2828
40,143,2828
45,153,3374
45,152,3325
45,146,3343
45,148,3321
45,146,3348
45,147,3331
45,145,3339
45,147,3325
45,148,3339
45,148,3327
50,161,4122
50,160,4096
50,161,4101
50,162,4095
50,160,4082
50,157,4091
50,159,4101
50,160,4101
50,162,4107
50,176,4098
55,171,4996
55,173,4985
55,171,4953
55,169,4970
55,172,4989
55,172,4979
55,213,6072
55,210,8295
55,253,10113
55,603,9791
60,292,10129
60,381,15538
60,475,14149
60,874,14725
60,456,13098
60,579,14021
60,222,7427
60,237,7166
60,219,7139
60,218,7172
65,234,8455
65,269,8510
65,253,8410
65,237,8461
65,238,8530
65,237,8394
65,235,8403
65,236,8467
65,237,8390
65,237,8510
70,250,9884
70,285,9938
70,252,9866
70,250,9839
70,254,10584
70,259,9707
70,261,9726
70,250,9861
70,250,9851
70,250,9718
75,267,11755
75,299,11739
75,272,11839
75,264,11770
75,265,11765
75,263,11815
75,307,11773
75,264,11813
75,265,11753
75,267,11857
80,280,13680
80,305,13603
80,280,13672
80,277,13653
80,279,13794
80,296,13810
80,392,13789
80,295,13702
80,279,13659
80,286,13795
85,323,16581
85,394,15689
85,293,18266
85,303,15796
85,309,19329
85,384,15720
85,293,16497
85,295,19285
85,570,21097
85,544,17796
90,308,38220
90,424,19730
90,325,27638
90,308,26454
90,466,27888
90,431,27243
90,1045,24064
90,315,22238
90,466,23537
90,341,26674
95,575,31389
95,446,22967
95,570,23859
95,475,34233
95,339,21303
95,414,22475
95,580,20523
95,424,20265
95,325,26358
95,581,36208
100,713,34678
100,517,33740
100,497,32894
100,337,26104
100,426,30925
100,495,23026
100,345,22997
100,338,22696
100,336,22703
100,339,22697
