size,naive,better,blas
10,5627,18795,1047
10,5555,5420,1001
10,5559,22270,1139
10,6534,6345,1112
10,6550,6302,1152
10,22426,22545,1265
10,7200,6946,1284
10,7293,6879,1260
10,7311,6946,1236
10,7189,6954,1271
11,9642,9845,1808
11,9597,9574,1711
11,9789,9810,1844
11,9819,10026,1753
11,10018,10397,1816
11,11618,12057,2424
11,11615,11243,2294
11,9952,11404,1900
11,10015,9929,1838
11,10161,10519,1826
12,12662,12471,2488
12,13376,13059,2649
12,14635,12393,2448
12,14729,12567,3048
12,14172,13298,3140
12,14191,13413,2848
12,14254,12340,2767
12,14097,12329,2961
12,14323,12982,2539
12,15600,13227,2163
13,16893,15107,2875
13,92501,33854,2908
13,16642,15637,3346
13,15902,14998,2778
13,15723,14941,2684
13,15874,14848,2666
13,15653,14856,2654
13,15500,14765,2738
13,15536,14964,2743
13,15745,14868,2660
14,19817,18812,3497
14,19883,18742,3305
14,19684,18691,3271
14,19799,18639,3267
14,19724,18761,3310
14,19900,18735,3467
14,20139,18950,3433
14,19665,18664,3373
14,19766,20314,3253
14,19646,19149,3348
15,24634,23521,4261
15,24815,23231,3980
15,24107,22946,3907
15,25684,24672,5381
15,27417,25362,5450
15,29242,24768,4558
15,26796,24879,6042
15,25243,24367,4398
15,28635,27539,4797
15,25693,24579,5180
16,33430,31296,5842
16,31234,30678,6011
16,30153,32972,5737
16,32769,31313,5793
16,37317,31626,5974
16,35319,30775,6141
16,32688,29201,5204
16,31052,31184,6697
16,58485,42252,6839
16,43122,38729,6968
17,53012,67515,7961
17,60432,40937,7078
17,43328,40990,7104
17,42991,41042,7003
17,43024,58126,5542
17,34306,32803,5838
17,34239,32860,5687
17,34278,32741,5377
17,34267,32823,5612
17,34249,32788,5400
18,40685,39346,7035
18,40995,38914,6790
18,40597,38900,6759
18,40687,38807,6792
18,40507,38826,6824
18,40523,38865,6698
18,42349,38841,6810
18,40952,38897,6869
18,40690,38874,6814
18,40518,38772,6699
19,50285,45657,7958
19,52078,47138,7632
19,66485,50234,7798
19,52012,49824,24433
19,69387,67222,10688
19,114078,80866,10290
19,71369,67914,33101
19,70310,67570,11005
19,78707,69702,12396
19,73914,73094,12270
20,101562,91034,13164
20,82840,71355,11850
20,101506,76294,12777
20,122068,92301,13072
20,106154,78686,14283
20,91903,119758,14057
20,88522,94818,15088
20,127744,79735,32636
20,83257,73993,14331
20,83151,73826,12927
21,88884,88855,15608
21,96800,86017,15558
21,89560,86551,32583
21,89339,83236,14294
21,104016,82496,13766
21,85253,82317,13635
21,87381,86278,14742
21,90774,83491,15560
21,90046,84981,15493
21,92568,87596,14687
22,117813,121381,22932
22,161523,127100,46384
22,170877,164738,21723
22,174624,195305,24694
22,180143,146279,19484
22,130857,123788,20858
22,120166,113859,23205
22,172180,123693,27406
22,163672,124319,20842
22,131985,147450,18709
23,122880,117220,14393
23,128962,116372,15899
23,97618,94750,13297
23,102916,91513,15898
23,94755,93944,15654
23,96762,92841,11578
23,85708,79675,11558
23,75984,73102,11513
23,76061,72978,11458
23,75995,72824,11482
24,86876,83218,13169
24,86585,83045,12947
24,86524,83061,12972
24,86543,83387,12965
24,86546,83084,12975
24,86611,82890,12962
24,86794,82928,12962
24,86956,82819,17262
24,86958,82711,16299
24,86927,82807,12959
25,98226,93783,14719
25,97877,93700,17947
25,97588,103335,12465
25,83375,79774,12379
25,87406,76205,16660
25,80093,76015,11710
25,79850,76004,12365
25,79537,76472,15246
25,79596,75994,12421
25,79944,76038,12416
26,90367,86294,14265
26,90027,86499,13921
26,89874,86274,16685
26,92170,86454,13940
26,89952,86545,13925
26,89961,86068,13907
26,90079,87218,13943
26,89993,86222,16606
26,90159,86164,14046
26,90081,86827,13976
27,101716,102830,19914
27,101640,103395,15672
27,101557,103614,18175
27,101673,102763,13515
27,94383,95956,16854
27,94960,96018,14491
27,94429,95810,16984
27,94532,95844,13685
27,94605,95682,17075
27,94414,95933,14460
28,104925,99842,16153
28,104879,161248,16152
28,105108,99366,16157
28,105125,99348,18730
28,105217,99563,18578
28,104787,99693,16074
28,104834,99660,14960
28,104879,99346,16111
28,148303,99532,20254
28,104881,99398,18463
29,116492,110595,26130
29,116489,110370,17823
29,116210,110120,16560
29,143782,123734,17864
29,116626,110461,17838
29,116778,110428,20322
29,116737,110202,20405
29,116408,110471,20394
29,118224,122573,19630
29,112577,106564,19537
30,124787,118487,21543
30,124652,118032,21425
30,124627,118069,21398
30,124978,118396,21340
30,124775,118471,18403
30,120768,114437,20783
30,120650,114672,18296
30,120647,114185,20866
30,126189,114480,20637
30,120669,114439,20703
31,131882,126255,22557
31,131766,126089,22629
31,158060,125862,22834
31,131982,126405,22622
31,165988,135635,21907
31,127976,122204,19634
31,127625,122263,21858
31,128161,122195,21867
31,127647,122255,21894
31,127725,122089,21830
32,151518,135135,30023
32,150810,134525,29866
32,151154,135170,29896
32,151321,135031,55935
32,189428,134693,29891
32,150947,134820,29819
32,150934,134772,31327
32,188659,142783,30049
32,150780,135056,29837
32,151378,134663,29818
33,165054,158325,26344
33,164897,157793,27426
33,192623,158204,26108
33,165290,158447,25771
33,165006,156824,24221
33,164631,158481,23944
33,165114,193914,27354
33,164842,170349,25373
33,160340,153698,25075
33,160070,153494,25368
34,223439,178054,28589
34,167160,162498,26662
34,168266,162539,28788
34,168091,162556,26168
34,168072,162644,29521
34,168167,162888,26352
34,170729,162503,26325
34,179294,157676,25557
34,256167,156043,25604
34,162899,157858,25922
35,177892,160457,35707
35,177562,160731,33716
35,177991,160281,33630
35,183117,160273,36433
35,181008,160211,33868
35,177481,191517,44259
35,177600,159798,35071
35,177480,160354,33735
35,178009,179729,36684
35,183206,164542,34599
36,198895,194756,40243
36,226053,336763,51984
36,493389,343208,84566
36,325029,301279,60237
36,317495,281307,59035
36,261700,310341,51188
36,292289,251532,51528
36,260354,249563,56391
36,259930,250522,57323
36,304305,275469,84861
37,282529,254917,46937
37,294853,254499,46672
37,373403,260546,52536
37,252397,235180,40903
37,260515,249244,42085
37,246576,251040,38936
37,333156,233164,41762
37,245250,226063,40226
37,295178,221185,38524
37,288349,220969,69082
38,294818,251960,48723
38,368298,384747,75849
38,233268,285866,65096
38,349377,374965,80614
38,332338,357642,58784
38,312627,329406,66419
38,418955,277232,50224
38,312148,339662,70808
38,417544,314113,139970
38,340548,247079,49187
39,503067,396891,46209
39,277115,389278,58896
39,364496,398169,75575
39,403229,300347,39954
39,303235,438012,53780
39,323896,247789,52651
39,394502,447633,68425
39,369078,429208,42004
39,260206,487859,107604
39,372533,317162,68110
40,473414,403957,80360
40,421402,270460,52566
40,541560,433871,66728
40,451172,449388,85276
40,437064,417607,80868
40,464340,342459,66639
40,461774,379256,69489
40,411120,410639,59129
40,323120,334470,58046
40,350335,344488,58072
41,411982,352502,62945
41,372053,326204,65613
41,331030,320771,62337
41,330588,342598,115442
41,762642,379354,69076
41,370574,326618,62720
41,333443,321856,60162
41,392008,321335,60088
41,333999,335482,61300
41,345034,329202,62740
42,368700,354831,64455
42,405738,303824,56415
42,316032,303963,58186
42,316512,306536,56249
42,322897,303589,55314
42,360371,341193,64238
42,310054,343845,52715
42,441135,601762,75173
42,334261,310652,74660
42,672356,348019,54703
43,309064,296862,59669
43,308367,296822,58946
43,314848,410188,56598
43,308402,296911,58733
43,308942,295389,60068
43,308300,295003,58013
43,308409,303022,58638
43,373727,287625,58512
43,307028,286761,58220
43,300424,289704,55595
44,307580,293050,60391
44,361055,374684,59450
44,307240,293047,58679
44,307796,292740,60462
44,307395,292654,59310
44,307194,335919,60746
44,307282,293165,59231
44,307624,292578,58709
44,307388,292940,60158
44,307316,292483,61519
45,372919,313155,64386
45,328805,312904,64335
45,330606,313353,63975
45,328891,313370,64562
45,450589,312880,64606
45,328579,312778,64952
45,336929,313233,64844
45,329325,356613,77677
45,372378,313260,65543
45,328295,318315,64228
46,352248,335994,53745
46,351986,336346,60981
46,438439,335445,60250
46,351866,335818,60041
46,352043,335990,58300
46,351707,335660,59319
46,355260,335518,58131
46,352345,335932,53629
46,352040,335896,53740
46,357678,336205,53587
47,511300,357990,62568
47,374268,363927,62595
47,373941,357522,63542
47,373799,402048,61859
47,373985,363895,63261
47,396643,357755,66110
47,418571,358112,61948
47,417122,357817,63664
47,374058,357793,61852
47,373732,358297,62802
48,397772,379650,102866
48,398193,379796,81336
48,397138,385793,80654
48,404471,386952,78017
48,512440,396751,77542
48,397387,427471,83001
48,398236,379279,82542
48,396784,382336,76679
48,397527,379662,79130
48,404080,379574,73246
49,423027,404255,69874
49,425792,403551,71199
49,423762,403480,86273
49,423056,403784,69289
49,535031,441476,71196
49,564127,403727,71260
49,423597,403775,70316
49,562057,429094,71289
49,422379,403618,71055
49,422758,403964,69274
50,449680,432642,75815
50,456158,428954,80158
50,449790,428444,76552
50,449945,431683,73876
50,449103,434865,75213
50,449555,428724,75950
50,449800,431187,75073
50,455435,435023,128042
50,474238,453140,80166
50,474334,455628,79744
51,511758,479588,84516
51,504014,480580,83539
51,504618,457612,79046
51,477845,454594,79229
51,476268,455467,79065
51,483647,456670,78889
51,484261,454615,81571
51,477377,501710,95432
51,528166,462422,80793
51,477791,455727,82217
52,506235,483503,105384
52,562766,489445,84231
52,504936,482534,83012
52,505127,481693,130555
52,628757,586256,83190
52,505523,482920,84059
52,506127,525098,85051
52,505208,482395,84114
52,505533,481788,83863
52,508002,482450,85824
53,535561,510406,87687
53,535821,511006,90268
53,553738,510394,89568
53,541167,517712,113715
53,534564,521559,89419
53,535319,510910,89524
53,535368,526350,89579
53,543157,510805,87785
53,535367,510652,87901
53,535013,513095,87773
54,566832,539380,93961
54,566311,540206,96455
54,645045,556762,92573
54,565835,539454,114905
54,587120,543325,84626
54,573665,540786,86364
54,613246,539270,86186
54,568715,541357,94921
54,566359,566721,94206
54,566315,543644,92709
55,598996,570460,116387
55,597478,570884,113804
55,601463,570583,117505
55,605565,569847,115444
55,599207,580651,117066
55,598833,577525,118452
55,599142,580333,117094
55,597621,618131,115809
55,605326,570201,114454
55,600685,570801,119329
56,631149,602656,104545
56,641564,602528,103572
56,630185,603398,104641
56,632174,605872,104084
56,631955,625829,103983
56,632210,601807,108171
56,631116,601674,104607
56,630999,602258,103685
56,693137,649291,103816
56,631616,601696,104755
57,668396,637064,111571
57,667545,634239,108890
57,666968,637900,110611
57,665820,635516,109226
57,666162,637907,110096
57,666654,642708,110592
57,665767,636991,111834
57,666048,634924,110533
57,665855,634549,112280
57,710637,636899,110908
58,705221,670352,114911
58,709166,670561,115142
58,706567,670705,114045
58,708900,672221,117352
58,705244,670512,114171
58,708316,678821,114251
58,705782,670428,114285
58,708279,670224,112816
58,712547,670903,128726
58,715258,670008,114609
59,765366,732238,121440
59,811511,749329,121428
59,763262,736359,122812
59,764228,742507,121536
59,764797,783195,119699
59,763377,749040,119491
59,764544,741223,119520
59,763845,747675,155712
59,765098,739461,119556
59,773549,736545,120400
60,827126,771523,127974
60,836194,767719,127862
60,828696,771977,128054
60,828109,774036,127936
60,826280,771429,127990
60,827358,773561,130293
60,824405,818447,128287
60,830942,767463,130968
60,824644,770977,127807
60,869869,782978,128073
61,894905,822296,148257
61,869194,810469,150950
61,869540,812787,150142
61,870485,809702,150827
61,880918,884965,163846
61,943004,893472,163771
61,942953,878456,163791
61,909267,810690,152615
61,872345,812729,154813
61,870864,812118,150988
62,918632,871538,153363
62,913101,906547,191686
62,960828,1468674,378657
62,1799358,1483647,241378
62,1325730,1114396,199580
62,1084299,979908,173181
62,1051489,1018209,181068
62,971150,914327,154205
62,937082,934933,233003
62,2153773,1296429,215535
63,1322151,1228612,241052
63,1804446,1622426,340811
63,1839952,1776352,297756
63,1859008,1353779,240522
63,1378977,1159176,209303
